tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 1 ; 20 ; custom ; 1 ; 232,90665125846863 ; - 83.54710305174702
2000 ; 1 ; 20 ; custom ; 1 ; 482,4958510398865 ; - 93.78827646544183
2000 ; 1 ; 20 ; custom ; 1 ; 259,2705240249634 ; - 85.57149065623642
2000 ; 1 ; 20 ; custom ; 1 ; 592,8464550971985 ; - 95.93280282935456
Code timeout
2000 ; 1 ; 20 ; custom ; 1 ; 636,4226312637329 ; - -
Code timeout
2000 ; 1 ; 20 ; custom ; 1 ; 637,925145149231 ; - -
2000 ; 1 ; 20 ; custom ; 1 ; 452,22911405563354 ; - 92.4262439453985
2000 ; 1 ; 20 ; custom ; 1 ; 390,4290461540222 ; - 93.7389770723104
2000 ; 1 ; 20 ; custom ; 1 ; 577,3461978435516 ; - 96.74439067311923
2000 ; 1 ; 20 ; custom ; 1 ; 592,2982709407806 ; - 96.57594381035996
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 637,3485157489777 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 653,154688835144 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 635,2327079772949 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 613,6977789402008 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 649,9764602184296 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 676,969753742218 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 618,8010308742523 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 630,9244899749756 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 696,0664141178131 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 634,0389850139618 ; - -
2000 ; 1 ; 100 ; custom ; 1 ; 533,813453912735 ; - 96.84210526315789
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 713,5565831661224 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 655,4914138317108 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 672,8926510810852 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 670,1299290657043 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 620,6024458408356 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 676,9928970336914 ; - -
2000 ; 1 ; 100 ; custom ; 1 ; 583,9627032279968 ; - 98.9501312335958
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 645,7589130401611 ; - -
Code timeout
2000 ; 1 ; 100 ; custom ; 1 ; 700,1956598758698 ; - -
2000 ; 2 ; 1 ; custom ; 1 ; 0,1454610824584961 ; - 1.1224744325268148
2000 ; 2 ; 1 ; custom ; 1 ; 0,16140007972717285 ; - 1.1717776115681875
2000 ; 2 ; 1 ; custom ; 1 ; 0,12837600708007812 ; - 1.0221889803041637
2000 ; 2 ; 1 ; custom ; 1 ; 0,13850116729736328 ; - 1.097804391217565
2000 ; 2 ; 1 ; custom ; 1 ; 0,12706995010375977 ; - 1.02269892741332
2000 ; 2 ; 1 ; custom ; 1 ; 0,12399697303771973 ; - 1.0221889803041637
2000 ; 2 ; 1 ; custom ; 1 ; 0,13420701026916504 ; - 1.0473815461346634
2000 ; 2 ; 1 ; custom ; 1 ; 0,133040189743042 ; - 0.9476309226932668
2000 ; 2 ; 1 ; custom ; 1 ; 0,11815810203552246 ; - 0.7233724120728361
2000 ; 2 ; 1 ; custom ; 1 ; 0,11861395835876465 ; - 0.7732601646295834
2000 ; 2 ; 1 ; custom ; 1 ; 0,1230781078338623 ; - 0.9481037924151697
2000 ; 2 ; 1 ; custom ; 1 ; 0,12099814414978027 ; - 0.6731488406881078
2000 ; 2 ; 1 ; custom ; 1 ; 0,14058494567871094 ; - 0.873471425006239
2000 ; 2 ; 1 ; custom ; 1 ; 0,13959813117980957 ; - 1.0972568578553616
2000 ; 2 ; 1 ; custom ; 1 ; 0,13698387145996094 ; - 1.1465603190428715
2000 ; 2 ; 1 ; custom ; 1 ; 0,14309096336364746 ; - 1.1224744325268148
2000 ; 2 ; 1 ; custom ; 1 ; 0,15152907371520996 ; - 1.02269892741332
2000 ; 2 ; 1 ; custom ; 1 ; 0,12902188301086426 ; - 0.8235587721487396
2000 ; 2 ; 1 ; custom ; 1 ; 0,15106987953186035 ; - 1.0720518573921716
2000 ; 2 ; 1 ; custom ; 1 ; 0,13141298294067383 ; - 0.8235587721487396
