tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
500 ; 1 ; 1 ; zhang ; 1 ; 17,409072875976562 ; 1
500 ; 1 ; 1 ; custom ; 1 ; 6,858381032943726 ; 1
500 ; 1 ; 5 ; zhang ; 1 ; 16,246752738952637 ; 1
500 ; 1 ; 5 ; custom ; 1 ; 7,890269041061401 ; 1
500 ; 1 ; 10 ; zhang ; 1 ; 17,261923789978027 ; 1
500 ; 1 ; 10 ; custom ; 1 ; 6,905166149139404 ; 1
500 ; 1 ; 20 ; zhang ; 1 ; 18,262416124343872 ; 1
500 ; 1 ; 20 ; custom ; 1 ; 5,664988994598389 ; 1
500 ; 1 ; 100 ; zhang ; 1 ; 17,731666803359985 ; 1
500 ; 1 ; 100 ; custom ; 1 ; 7,850011348724365 ; 1
500 ; 2 ; 1 ; zhang ; 1 ; 155,06497287750244 ; 1
500 ; 2 ; 1 ; custom ; 1 ; 0,04468107223510742 ; 1
500 ; 2 ; 5 ; zhang ; 1 ; 150,12895584106445 ; 1
500 ; 2 ; 5 ; custom ; 1 ; 0,18620800971984863 ; 1
500 ; 2 ; 10 ; zhang ; 1 ; 147,12887024879456 ; 1
500 ; 2 ; 10 ; custom ; 1 ; 0,9437711238861084 ; 1
500 ; 2 ; 20 ; zhang ; 1 ; 142,0527858734131 ; 1
500 ; 2 ; 20 ; custom ; 1 ; 3,9084973335266113 ; 1
500 ; 2 ; 100 ; zhang ; 1 ; 146,829843044281 ; 1
500 ; 2 ; 100 ; custom ; 1 ; 19,69603705406189 ; 1
500 ; 5 ; 1 ; zhang ; 1 ; 415,2621109485626 ; 1
500 ; 5 ; 1 ; custom ; 1 ; 0,06443285942077637 ; 1
500 ; 5 ; 5 ; zhang ; 1 ; 334,3624920845032 ; 1
500 ; 5 ; 5 ; custom ; 1 ; 0,5469119548797607 ; 1
500 ; 5 ; 10 ; zhang ; 1 ; 343,91132378578186 ; 1
500 ; 5 ; 10 ; custom ; 1 ; 1,0690150260925293 ; 1
500 ; 5 ; 20 ; zhang ; 1 ; 327,57322812080383 ; 1
500 ; 5 ; 20 ; custom ; 1 ; 10,139698028564453 ; 1
500 ; 5 ; 100 ; zhang ; 1 ; 334,3956527709961 ; 1
500 ; 5 ; 100 ; custom ; 1 ; 127,23624300956726 ; 1
500 ; 1-2 ; 1 ; zhang ; 1 ; 97,60739994049072 ; 1
500 ; 1-2 ; 1 ; custom ; 1 ; 0,027571916580200195 ; 1
500 ; 1-2 ; 5 ; zhang ; 1 ; 75,86250901222229 ; 1
500 ; 1-2 ; 5 ; custom ; 1 ; 0,5370450019836426 ; 1
500 ; 1-2 ; 10 ; zhang ; 1 ; 96,7423050403595 ; 1
500 ; 1-2 ; 10 ; custom ; 1 ; 1,572059154510498 ; 1
500 ; 1-2 ; 20 ; zhang ; 1 ; 89,96440196037292 ; 1
500 ; 1-2 ; 20 ; custom ; 1 ; 2,5023248195648193 ; 1
500 ; 1-2 ; 100 ; zhang ; 1 ; 83,80725407600403 ; 1
500 ; 1-2 ; 100 ; custom ; 1 ; 25,081501007080078 ; 1
500 ; 1-5 ; 1 ; zhang ; 1 ; 250,06001687049866 ; 1
500 ; 1-5 ; 1 ; custom ; 1 ; 0,07034993171691895 ; 1
500 ; 1-5 ; 5 ; zhang ; 1 ; 257,28848671913147 ; 1
500 ; 1-5 ; 5 ; custom ; 1 ; 0,20534777641296387 ; 1
500 ; 1-5 ; 10 ; zhang ; 1 ; 247,67695903778076 ; 1
500 ; 1-5 ; 10 ; custom ; 1 ; 2,7694778442382812 ; 1
500 ; 1-5 ; 20 ; zhang ; 1 ; 235,45017886161804 ; 1
500 ; 1-5 ; 20 ; custom ; 1 ; 7,127669095993042 ; 1
500 ; 1-5 ; 100 ; zhang ; 1 ; 246,47126626968384 ; 1
500 ; 1-5 ; 100 ; custom ; 1 ; 61,837929010391235 ; 1
