tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 1 ; 1 ; custom ; 1 ; 13,461174011230469 ; - ; 30,873956960913485
2000 ; 1 ; 1 ; custom ; 1 ; 1,709040880203247 ; - ; 14,77422183252959
2000 ; 1 ; 1 ; custom ; 1 ; 2,3640902042388916 ; - ; 16,674077367718986
2000 ; 1 ; 1 ; custom ; 1 ; 113,45917630195618 ; - ; 66,03440670489634
2000 ; 1 ; 1 ; custom ; 1 ; 7,244652032852173 ; - ; 25,120985481742192
2000 ; 1 ; 1 ; custom ; 1 ; 126,60664916038513 ; - ; 69,4086260560249
2000 ; 1 ; 1 ; custom ; 1 ; 37,171364068984985 ; - ; 44,7032967032967
2000 ; 1 ; 1 ; custom ; 1 ; 10,06480598449707 ; - ; 28,03532008830022
2000 ; 1 ; 1 ; custom ; 1 ; 39,77284288406372 ; - ; 45,78366445916115
2000 ; 1 ; 1 ; custom ; 1 ; 0,8053231239318848 ; - ; 10,653222270933801
2000 ; 1 ; 5 ; custom ; 1 ; 68,07453632354736 ; - ; 55,438132981065614
2000 ; 1 ; 5 ; custom ; 1 ; 212,92499995231628 ; - ; 80,48565121412804
2000 ; 1 ; 5 ; custom ; 1 ; 140,829528093338 ; - ; 71,10432125709298
2000 ; 1 ; 5 ; custom ; 1 ; 423,1251611709595 ; - ; 92,50110277900309
2000 ; 1 ; 5 ; custom ; 1 ; 578,4234580993652 ; - ; 95,25274725274726
2000 ; 1 ; 5 ; custom ; 1 ; 536,5556919574738 ; - ; 95,38598047914817
2000 ; 1 ; 5 ; custom ; 1 ; 184,15547895431519 ; - ; 77,08788806296458
2000 ; 1 ; 5 ; custom ; 1 ; 176,61745882034302 ; - ; 76,27416520210897
2000 ; 1 ; 5 ; custom ; 1 ; 603,0906460285187 ; - ; -
2000 ; 1 ; 5 ; custom ; 1 ; 435,74345302581787 ; - ; 92,15344376634698
2000 ; 1 ; 10 ; custom ; 1 ; 615,7419719696045 ; - ; -
2000 ; 1 ; 10 ; custom ; 1 ; 637,7565939426422 ; - ; -
2000 ; 1 ; 10 ; custom ; 1 ; 634,135810136795 ; - ; -
2000 ; 1 ; 10 ; custom ; 1 ; 369,1194739341736 ; - ; 88,57142857142857
2000 ; 1 ; 10 ; custom ; 1 ; 599,7063109874725 ; - ; 94,37362637362638
2000 ; 1 ; 10 ; custom ; 1 ; 245,78578209877014 ; - ; 83,20879120879121
2000 ; 1 ; 10 ; custom ; 1 ; 522,0619230270386 ; - ; 92,65486725663716
2000 ; 1 ; 10 ; custom ; 1 ; 96,14384508132935 ; - ; 63,65240405822673
2000 ; 1 ; 10 ; custom ; 1 ; 156,74882316589355 ; - ; 73,5024048972453
2000 ; 1 ; 10 ; custom ; 1 ; 316,19795513153076 ; - ; 86,98689956331877
2000 ; 1 ; 20 ; custom ; 1 ; 493,12749314308167 ; - ; 91,95402298850574
2000 ; 1 ; 20 ; custom ; 1 ; 623,615168094635 ; - ; -
2000 ; 1 ; 20 ; custom ; 1 ; 630,5659272670746 ; - ; -
2000 ; 1 ; 20 ; custom ; 1 ; 361,66526317596436 ; - ; 90,28697571743929
