tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
250 ; 1 ; 1 ; custom ; 1 ; 0,21208691596984863 ; - ; 44,107744107744104
250 ; 1 ; 1 ; custom ; 1 ; 0,011540889739990234 ; - ; 4,406779661016949
250 ; 1 ; 1 ; custom ; 1 ; 0,025291919708251953 ; - ; 15,254237288135593
250 ; 1 ; 1 ; custom ; 1 ; 0,020534038543701172 ; - ; 11,409395973154362
250 ; 1 ; 1 ; custom ; 1 ; 0,9283139705657959 ; - ; 86,04651162790698
250 ; 1 ; 1 ; custom ; 1 ; 1,0976929664611816 ; - ; 91,47540983606557
250 ; 1 ; 1 ; custom ; 1 ; 0,11740899085998535 ; - ; 39,51890034364261
250 ; 1 ; 1 ; custom ; 1 ; 0,5483012199401855 ; - ; 74,74402730375427
250 ; 1 ; 1 ; custom ; 1 ; 0,09133100509643555 ; - ; 33,79790940766551
250 ; 1 ; 1 ; custom ; 1 ; 0,8835399150848389 ; - ; 90,44368600682594
250 ; 1 ; 5 ; custom ; 1 ; 0,6362087726593018 ; - ; 81,44329896907216
250 ; 1 ; 5 ; custom ; 1 ; 0,9022378921508789 ; - ; 89,29765886287625
250 ; 1 ; 5 ; custom ; 1 ; 0,8197338581085205 ; - ; 89,07849829351537
250 ; 1 ; 5 ; custom ; 1 ; 0,7485818862915039 ; - ; 84,51178451178451
250 ; 1 ; 5 ; custom ; 1 ; 0,2394418716430664 ; - ; 50,495049504950494
250 ; 1 ; 5 ; custom ; 1 ; 0,6675961017608643 ; - ; 82,1917808219178
250 ; 1 ; 5 ; custom ; 1 ; 0,2693150043487549 ; - ; 56,55172413793104
250 ; 1 ; 5 ; custom ; 1 ; 0,242034912109375 ; - ; 51,03448275862069
250 ; 1 ; 5 ; custom ; 1 ; 0,2260441780090332 ; - ; 47,97297297297297
250 ; 1 ; 5 ; custom ; 1 ; 1,1954727172851562 ; - ; 97,34219269102991
250 ; 1 ; 10 ; custom ; 1 ; 0,49939727783203125 ; - ; 69,23076923076923
250 ; 1 ; 10 ; custom ; 1 ; 0,6988790035247803 ; - ; 82,93515358361775
250 ; 1 ; 10 ; custom ; 1 ; 0,6572580337524414 ; - ; 83,39100346020761
250 ; 1 ; 10 ; custom ; 1 ; 0,8909718990325928 ; - ; 90,54054054054053
250 ; 1 ; 10 ; custom ; 1 ; 0,6015176773071289 ; - ; 78,91156462585033
