tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
125 ; 1 ; 1 ; zhang ; 1 ; 0,4488658905029297 ; 1
125 ; 1 ; 1 ; custom ; 1 ; 0,034713029861450195 ; 1
125 ; 1 ; 5 ; zhang ; 1 ; 0,506148099899292 ; 1
125 ; 1 ; 5 ; custom ; 1 ; 0,20034575462341309 ; 1
125 ; 1 ; 10 ; zhang ; 1 ; 0,5426681041717529 ; 1
125 ; 1 ; 10 ; custom ; 1 ; 0,13128089904785156 ; 1
125 ; 1 ; 20 ; zhang ; 1 ; 0,6504430770874023 ; 1
125 ; 1 ; 20 ; custom ; 1 ; 0,27063608169555664 ; 1
125 ; 1 ; 100 ; zhang ; 1 ; 0,6714150905609131 ; 1
125 ; 1 ; 100 ; custom ; 1 ; 0,32181310653686523 ; 1
125 ; 2 ; 1 ; zhang ; 1 ; 3,8648550510406494 ; 1
125 ; 2 ; 1 ; custom ; 1 ; 0,013356924057006836 ; 1
125 ; 2 ; 5 ; zhang ; 1 ; 3,6848978996276855 ; 1
125 ; 2 ; 5 ; custom ; 1 ; 0,0668642520904541 ; 1
125 ; 2 ; 10 ; zhang ; 1 ; 3,655029058456421 ; 1
125 ; 2 ; 10 ; custom ; 1 ; 0,14638209342956543 ; 1
125 ; 2 ; 20 ; zhang ; 1 ; 3,6871497631073 ; 1
125 ; 2 ; 20 ; custom ; 1 ; 0,8145689964294434 ; 1
125 ; 2 ; 100 ; zhang ; 1 ; 3,854998826980591 ; 1
125 ; 2 ; 100 ; custom ; 1 ; 0,5490682125091553 ; 1
125 ; 5 ; 1 ; zhang ; 1 ; 7,659363031387329 ; 1
125 ; 5 ; 1 ; custom ; 1 ; 0,010840654373168945 ; 1
125 ; 5 ; 5 ; zhang ; 1 ; 7,983660936355591 ; 1
125 ; 5 ; 5 ; custom ; 1 ; 0,07656526565551758 ; 1
125 ; 5 ; 10 ; zhang ; 1 ; 7,536681890487671 ; 1
125 ; 5 ; 10 ; custom ; 1 ; 0,4947090148925781 ; 1
125 ; 5 ; 20 ; zhang ; 1 ; 7,958411931991577 ; 1
125 ; 5 ; 20 ; custom ; 1 ; 2,0898799896240234 ; 1
125 ; 5 ; 100 ; zhang ; 1 ; 8,122749328613281 ; 1
125 ; 5 ; 100 ; custom ; 1 ; 3,191908121109009 ; 1
125 ; 1-2 ; 1 ; zhang ; 1 ; 2,1605570316314697 ; 1
125 ; 1-2 ; 1 ; custom ; 1 ; 0,01393890380859375 ; 1
125 ; 1-2 ; 5 ; zhang ; 1 ; 2,479179859161377 ; 1
125 ; 1-2 ; 5 ; custom ; 1 ; 0,15699505805969238 ; 1
125 ; 1-2 ; 10 ; zhang ; 1 ; 2,0380890369415283 ; 1
125 ; 1-2 ; 10 ; custom ; 1 ; 0,4711878299713135 ; 1
125 ; 1-2 ; 20 ; zhang ; 1 ; 2,3231430053710938 ; 1
125 ; 1-2 ; 20 ; custom ; 1 ; 0,7464818954467773 ; 1
125 ; 1-2 ; 100 ; zhang ; 1 ; 2,0570919513702393 ; 1
125 ; 1-2 ; 100 ; custom ; 1 ; 0,6656899452209473 ; 1
125 ; 1-5 ; 1 ; zhang ; 1 ; 4,594754934310913 ; 1
125 ; 1-5 ; 1 ; custom ; 1 ; 0,02538919448852539 ; 1
125 ; 1-5 ; 5 ; zhang ; 1 ; 5,648844957351685 ; 1
125 ; 1-5 ; 5 ; custom ; 1 ; 0,1855909824371338 ; 1
125 ; 1-5 ; 10 ; zhang ; 1 ; 4,916488885879517 ; 1
125 ; 1-5 ; 10 ; custom ; 1 ; 0,7747702598571777 ; 1
125 ; 1-5 ; 20 ; zhang ; 1 ; 5,605837106704712 ; 1
125 ; 1-5 ; 20 ; custom ; 1 ; 0,995189905166626 ; 1
125 ; 1-5 ; 100 ; zhang ; 1 ; 5,48170804977417 ; 1
125 ; 1-5 ; 100 ; custom ; 1 ; 0,8299336433410645 ; 1
