tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
2000 ; 1 ; 1 ; zhang ; 1 ; 634,8176431655884 ; 1 ; -
2000 ; 1 ; 1 ; custom ; 1 ; 12,59583592414856 ; - ; 30.066225165562916
2000 ; 1 ; 5 ; zhang ; 1 ; 636,5531711578369 ; 1 ; -
2000 ; 1 ; 5 ; custom ; 1 ; 159,638179063797 ; - ; 71.13946326440828
2000 ; 1 ; 10 ; zhang ; 1 ; 642,6811881065369 ; 1 ; -
2000 ; 1 ; 10 ; custom ; 1 ; - ; - ; -
2000 ; 1 ; 20 ; zhang ; 1 ; 631,0231170654297 ; 1 ; -
2000 ; 1 ; 20 ; custom ; 1 ; - ; - ; -
2000 ; 1 ; 100 ; zhang ; 1 ; 641,9095449447632 ; 1 ; -
2000 ; 1 ; 100 ; custom ; 1 ; - ; - ; -
2000 ; 2 ; 1 ; zhang ; 1 ; 602,3065161705017 ; 1 ; -
2000 ; 2 ; 1 ; custom ; 1 ; 0,12787270545959473 ; - ; 0.7736461192912403
2000 ; 2 ; 5 ; zhang ; 1 ; 602,2869539260864 ; 1 ; -
2000 ; 2 ; 5 ; custom ; 1 ; 0,33881402015686035 ; - ; 2.7431421446384037
2000 ; 2 ; 10 ; zhang ; 1 ; 602,6451950073242 ; 1 ; -
2000 ; 2 ; 10 ; custom ; 1 ; 2,3845760822296143 ; - ; 6.337325349301397
2000 ; 2 ; 20 ; zhang ; 1 ; 601,9450030326843 ; 1 ; -
2000 ; 2 ; 20 ; custom ; 1 ; 6,541279077529907 ; - ; 9.947643979057592
2000 ; 2 ; 100 ; zhang ; 1 ; 607,4471018314362 ; 1 ; -
2000 ; 2 ; 100 ; custom ; 1 ; 159,0534212589264 ; - ; 30.66002490660025
2000 ; 5 ; 1 ; zhang ; 1 ; 602,0896961688995 ; 1 ; -
2000 ; 5 ; 1 ; custom ; 1 ; 0,22690773010253906 ; - ; 0.7819287576020852
2000 ; 5 ; 5 ; zhang ; 1 ; 601,9478631019592 ; 1 ; -
2000 ; 5 ; 5 ; custom ; 1 ; 0,43106985092163086 ; - ; 1.9220779220779223
2000 ; 5 ; 10 ; zhang ; 1 ; 601,9504041671753 ; 1 ; -
2000 ; 5 ; 10 ; custom ; 1 ; 3,400883913040161 ; - ; 5.098855359001041
2000 ; 5 ; 20 ; zhang ; 1 ; 601,979994058609 ; 1 ; -
2000 ; 5 ; 20 ; custom ; 1 ; 18,023576021194458 ; - ; 10.119770873112307
2000 ; 5 ; 100 ; zhang ; 1 ; 601,8723537921906 ; 1 ; -
2000 ; 5 ; 100 ; custom ; 1 ; 509,8690218925476 ; - ; 33.78448724622592
2000 ; 1-2 ; 1 ; zhang ; 1 ; 601,9976358413696 ; 1 ; -
2000 ; 1-2 ; 1 ; custom ; 1 ; 0,14901399612426758 ; - ; 1.5292353823088456
2000 ; 1-2 ; 5 ; zhang ; 1 ; 602,2718670368195 ; 1 ; -
2000 ; 1-2 ; 5 ; custom ; 1 ; 1,060204029083252 ; - ; 6.233223978526692
2000 ; 1-2 ; 10 ; zhang ; 1 ; 602,1672790050507 ; 1 ; -
2000 ; 1-2 ; 10 ; custom ; 1 ; 2,3662571907043457 ; - ; 8.72321159070329
2000 ; 1-2 ; 20 ; zhang ; 1 ; 602,2280659675598 ; 1 ; -
2000 ; 1-2 ; 20 ; custom ; 1 ; 19,55854892730713 ; - ; 15.878787878787879
2000 ; 1-2 ; 100 ; zhang ; 1 ; 602,0819339752197 ; 1 ; -
2000 ; 1-2 ; 100 ; custom ; 1 ; 318,4230568408966 ; - ; 43.324412726732085
2000 ; 1-5 ; 1 ; zhang ; 1 ; 605,1723079681396 ; 1 ; -
2000 ; 1-5 ; 1 ; custom ; 1 ; 0,2292938232421875 ; - ; 0.9728834609811634
2000 ; 1-5 ; 5 ; zhang ; 1 ; 608,628121137619 ; 1 ; -
2000 ; 1-5 ; 5 ; custom ; 1 ; 1,8637549877166748 ; - ; 3.5449629481273783
2000 ; 1-5 ; 10 ; zhang ; 1 ; 626,8417251110077 ; 1 ; -
2000 ; 1-5 ; 10 ; custom ; 1 ; 3,509037733078003 ; - ; 5.154212378389567
2000 ; 1-5 ; 20 ; zhang ; 1 ; 604,3951160907745 ; 1 ; -
2000 ; 1-5 ; 20 ; custom ; 1 ; 15,027549028396606 ; - ; 9.728737507648379
2000 ; 1-5 ; 100 ; zhang ; 1 ; 604,518657207489 ; 1 ; -
2000 ; 1-5 ; 100 ; custom ; 1 ; 583,9079549312592 ; - ; 33.63265306122449
