tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
1000 ; 1 ; 1 ; zhang ; 1 ; 113,96846103668213 ; 1 ; -
1000 ; 1 ; 1 ; custom ; 1 ; 0,2996561527252197 ; 1 ; 13.155631986242478
1000 ; 1 ; 5 ; zhang ; 1 ; 117,39972138404846 ; 1 ; -
1000 ; 1 ; 5 ; custom ; 1 ; 44,00054907798767 ; 1 ; 92.84467713787086
1000 ; 1 ; 10 ; zhang ; 1 ; 105,22903227806091 ; 1 ; -
1000 ; 1 ; 10 ; custom ; 1 ; 48,95021605491638 ; 1 ; 91.87996469549867
1000 ; 1 ; 20 ; zhang ; 1 ; 107,8525869846344 ; 1 ; -
1000 ; 1 ; 20 ; custom ; 1 ; 48,478270053863525 ; 1 ; 97.2052401746725
1000 ; 1 ; 100 ; zhang ; 1 ; 106,0022280216217 ; 1 ; -
1000 ; 1 ; 100 ; custom ; 1 ; 53,44126605987549 ; 1 ; 98.61949956859361
1000 ; 2 ; 1 ; zhang ; 1 ; 604,0343768596649 ; 1 ; -
1000 ; 2 ; 1 ; custom ; 1 ; 0,09132003784179688 ; - ; 2.038786673296867
1000 ; 2 ; 5 ; zhang ; 1 ; 606,7350771427155 ; 1 ; -
1000 ; 2 ; 5 ; custom ; 1 ; 0,3659956455230713 ; - ; 5.577689243027888
1000 ; 2 ; 10 ; zhang ; 1 ; 606,1387238502502 ; 1 ; -
1000 ; 2 ; 10 ; custom ; 1 ; 1,9743797779083252 ; - ; 11.752988047808765
1000 ; 2 ; 20 ; zhang ; 1 ; 603,716539144516 ; 1 ; -
1000 ; 2 ; 20 ; custom ; 1 ; 8,63146686553955 ; - ; 18.669314796425024
1000 ; 2 ; 100 ; zhang ; 1 ; 606,0576319694519 ; 1 ; -
1000 ; 2 ; 100 ; custom ; 1 ; 103,91136693954468 ; - ; 51.0934393638171
1000 ; 5 ; 1 ; zhang ; 1 ; 602,2506039142609 ; 1 ; -
1000 ; 5 ; 1 ; custom ; 1 ; 0,1458580493927002 ; - ; 1.489435400069276
1000 ; 5 ; 5 ; zhang ; 1 ; 601,9324517250061 ; 1 ; -
1000 ; 5 ; 5 ; custom ; 1 ; 0,6564149856567383 ; - ; 4.788341429562804
1000 ; 5 ; 10 ; zhang ; 1 ; 603,0479648113251 ; 1 ; -
1000 ; 5 ; 10 ; custom ; 1 ; 2,1207478046417236 ; - ; 8.480443059882312
1000 ; 5 ; 20 ; zhang ; 1 ; 601,8902192115784 ; 1 ; -
1000 ; 5 ; 20 ; custom ; 1 ; 13,176891088485718 ; - ; 17.22222222222222
1000 ; 5 ; 100 ; zhang ; 1 ; 602,3764328956604 ; 1 ; -
1000 ; 5 ; 100 ; custom ; 1 ; 286,3183879852295 ; - ; 56.356078974714244
1000 ; 1-2 ; 1 ; zhang ; 1 ; 602,7291307449341 ; 1 ; -
1000 ; 1-2 ; 1 ; custom ; 1 ; 0,09146595001220703 ; - ; 3.14769975786925
1000 ; 1-2 ; 5 ; zhang ; 1 ; 601,4870290756226 ; 1 ; -
1000 ; 1-2 ; 5 ; custom ; 1 ; 0,25696420669555664 ; - ; 6.579727326615294
1000 ; 1-2 ; 10 ; zhang ; 1 ; 603,8478059768677 ; 1 ; -
1000 ; 1-2 ; 10 ; custom ; 1 ; 1,7258923053741455 ; - ; 13.86255924170616
1000 ; 1-2 ; 20 ; zhang ; 1 ; 607,74862408638 ; 1 ; -
1000 ; 1-2 ; 20 ; custom ; 1 ; 4,212625026702881 ; - ; 20.284697508896798
1000 ; 1-2 ; 100 ; zhang ; 1 ; 601,9820799827576 ; 1 ; -
1000 ; 1-2 ; 100 ; custom ; 1 ; 86,65041303634644 ; - ; 57.46987951807229
1000 ; 1-5 ; 1 ; zhang ; 1 ; 602,8830840587616 ; 1 ; -
1000 ; 1-5 ; 1 ; custom ; 1 ; 0,1068410873413086 ; - ; 1.4553014553014554
1000 ; 1-5 ; 5 ; zhang ; 1 ; 604,7592360973358 ; 1 ; -
1000 ; 1-5 ; 5 ; custom ; 1 ; 1,063560962677002 ; - ; 6.807990216061965
1000 ; 1-5 ; 10 ; zhang ; 1 ; 603,9798719882965 ; 1 ; -
1000 ; 1-5 ; 10 ; custom ; 1 ; 3,7980940341949463 ; - ; 11.363636363636363
1000 ; 1-5 ; 20 ; zhang ; 1 ; 615,5242488384247 ; 1 ; -
1000 ; 1-5 ; 20 ; custom ; 1 ; 11,371805906295776 ; - ; 17.772317772317773
1000 ; 1-5 ; 100 ; zhang ; 1 ; 601,88356590271 ; 1 ; -
1000 ; 1-5 ; 100 ; custom ; 1 ; 228,86633896827698 ; - ; 56.043956043956044
