tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
250 ; 1 ; 1 ; zhang ; 1 ; 2,3675880432128906 ; 1
250 ; 1 ; 1 ; custom ; 1 ; 0,21207308769226074 ; 1
250 ; 1 ; 5 ; zhang ; 1 ; 2,3489272594451904 ; 1
250 ; 1 ; 5 ; custom ; 1 ; 0,5813307762145996 ; 1
250 ; 1 ; 10 ; zhang ; 1 ; 2,197786808013916 ; 1
250 ; 1 ; 10 ; custom ; 1 ; 1,0637152194976807 ; 1
250 ; 1 ; 20 ; zhang ; 1 ; 2,242553949356079 ; 1
250 ; 1 ; 20 ; custom ; 1 ; 0,8629660606384277 ; 1
250 ; 1 ; 100 ; zhang ; 1 ; 2,7204837799072266 ; 1
250 ; 1 ; 100 ; custom ; 1 ; 1,271789789199829 ; 1
250 ; 2 ; 1 ; zhang ; 1 ; 22,979171991348267 ; 1
250 ; 2 ; 1 ; custom ; 1 ; 0,02509903907775879 ; 1
250 ; 2 ; 5 ; zhang ; 1 ; 23,223265886306763 ; 1
250 ; 2 ; 5 ; custom ; 1 ; 0,22338008880615234 ; 1
250 ; 2 ; 10 ; zhang ; 1 ; 24,32736110687256 ; 1
250 ; 2 ; 10 ; custom ; 1 ; 0,753615140914917 ; 1
250 ; 2 ; 20 ; zhang ; 1 ; 22,882652044296265 ; 1
250 ; 2 ; 20 ; custom ; 1 ; 2,4511661529541016 ; 1
250 ; 2 ; 100 ; zhang ; 1 ; 25,160542964935303 ; 1
250 ; 2 ; 100 ; custom ; 1 ; 7,658174991607666 ; 1
250 ; 5 ; 1 ; zhang ; 1 ; 46,58186602592468 ; 1
250 ; 5 ; 1 ; custom ; 1 ; 0,04309988021850586 ; 1
250 ; 5 ; 5 ; zhang ; 1 ; 46,7551589012146 ; 1
250 ; 5 ; 5 ; custom ; 1 ; 0,49190402030944824 ; 1
250 ; 5 ; 10 ; zhang ; 1 ; 46,77111601829529 ; 1
250 ; 5 ; 10 ; custom ; 1 ; 1,787773847579956 ; 1
250 ; 5 ; 20 ; zhang ; 1 ; 47,619807958602905 ; 1
250 ; 5 ; 20 ; custom ; 1 ; 5,101330041885376 ; 1
250 ; 5 ; 100 ; zhang ; 1 ; 47,85264492034912 ; 1
250 ; 5 ; 100 ; custom ; 1 ; 11,57146692276001 ; 1
250 ; 1-2 ; 1 ; zhang ; 1 ; 14,391601800918579 ; 1
250 ; 1-2 ; 1 ; custom ; 1 ; 0,030437231063842773 ; 1
250 ; 1-2 ; 5 ; zhang ; 1 ; 16,535205841064453 ; 1
250 ; 1-2 ; 5 ; custom ; 1 ; 0,22455406188964844 ; 1
250 ; 1-2 ; 10 ; zhang ; 1 ; 15,231168985366821 ; 1
250 ; 1-2 ; 10 ; custom ; 1 ; 0,7807488441467285 ; 1
250 ; 1-2 ; 20 ; zhang ; 1 ; 12,696867942810059 ; 1
250 ; 1-2 ; 20 ; custom ; 1 ; 1,5091760158538818 ; 1
250 ; 1-2 ; 100 ; zhang ; 1 ; 12,797058820724487 ; 1
250 ; 1-2 ; 100 ; custom ; 1 ; 6,714678049087524 ; 1
250 ; 1-5 ; 1 ; zhang ; 1 ; 38,851792097091675 ; 1
250 ; 1-5 ; 1 ; custom ; 1 ; 0,04123282432556152 ; 1
250 ; 1-5 ; 5 ; zhang ; 1 ; 35,48392701148987 ; 1
250 ; 1-5 ; 5 ; custom ; 1 ; 0,28989124298095703 ; 1
250 ; 1-5 ; 10 ; zhang ; 1 ; 36,323169231414795 ; 1
250 ; 1-5 ; 10 ; custom ; 1 ; 0,5014278888702393 ; 1
250 ; 1-5 ; 20 ; zhang ; 1 ; 32,294060945510864 ; 1
250 ; 1-5 ; 20 ; custom ; 1 ; 3,598384141921997 ; 1
250 ; 1-5 ; 100 ; zhang ; 1 ; 32,40590214729309 ; 1
250 ; 1-5 ; 100 ; custom ; 1 ; 11,95175313949585 ; 1
