tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct ; reduction
4000 ; 1 ; 1 ; zhang ; 1 ; 813,8134460449219 ; 1 ; -
4000 ; 1 ; 1 ; custom ; 1 ; - ; - ; -
4000 ; 1 ; 5 ; zhang ; 1 ; 684,9793388843536 ; 1 ; -
4000 ; 1 ; 5 ; custom ; 1 ; - ; - ; -
4000 ; 1 ; 10 ; zhang ; 1 ; 714,1310799121857 ; 1 ; -
4000 ; 1 ; 10 ; custom ; 1 ; - ; - ; -
4000 ; 1 ; 20 ; zhang ; 1 ; 680,7987458705902 ; 1 ; -
4000 ; 1 ; 20 ; custom ; 1 ; - ; - ; -
4000 ; 1 ; 100 ; zhang ; 1 ; 652,8511760234833 ; 1 ; -
4000 ; 1 ; 100 ; custom ; 1 ; - ; - ; -
4000 ; 2 ; 1 ; zhang ; 1 ; 602,5069630146027 ; 1 ; -
4000 ; 2 ; 1 ; custom ; 1 ; 0,27026987075805664 ; - ; 0,6118117118241978
4000 ; 2 ; 5 ; zhang ; 1 ; 606,7314128875732 ; 1 ; -
4000 ; 2 ; 5 ; custom ; 1 ; 0,9000823497772217 ; - ; 2,1228771228771226
4000 ; 2 ; 10 ; zhang ; 1 ; 606,3709969520569 ; 1 ; -
4000 ; 2 ; 10 ; custom ; 1 ; 1,717142105102539 ; - ; 2,835019358061696
4000 ; 2 ; 20 ; zhang ; 1 ; 611,0012979507446 ; 1 ; -
4000 ; 2 ; 20 ; custom ; 1 ; 10,035550832748413 ; - ; 5,907331085300362
4000 ; 2 ; 100 ; zhang ; 1 ; 604,5881259441376 ; 1 ; -
4000 ; 2 ; 100 ; custom ; 1 ; 329,08393907546997 ; - ; 19,300873907615482
4000 ; 5 ; 1 ; zhang ; 1 ; 609,1866118907928 ; 1 ; -
4000 ; 5 ; 1 ; custom ; 1 ; 0,3956270217895508 ; - ; 0,39045553145336226
4000 ; 5 ; 5 ; zhang ; 1 ; 604,1573121547699 ; 1 ; -
4000 ; 5 ; 5 ; custom ; 1 ; 1,3799757957458496 ; - ; 1,5189653675896189
4000 ; 5 ; 10 ; zhang ; 1 ; 627,7486760616302 ; 1 ; -
4000 ; 5 ; 10 ; custom ; 1 ; 4,600290060043335 ; - ; 2,482638888888889
4000 ; 5 ; 20 ; zhang ; 1 ; 611,8859529495239 ; 1 ; -
4000 ; 5 ; 20 ; custom ; 1 ; 15,008937120437622 ; - ; 4,612177538434812
4000 ; 5 ; 100 ; zhang ; 1 ; 609,0673060417175 ; 1 ; -
4000 ; 5 ; 100 ; custom ; 1 ; - ; - ; -
4000 ; 1-2 ; 1 ; zhang ; 1 ; 601,6488268375397 ; 1 ; -
4000 ; 1-2 ; 1 ; custom ; 1 ; 0,2604050636291504 ; - ; 0,6780171764351364
4000 ; 1-2 ; 5 ; zhang ; 1 ; 602,4439170360565 ; 1 ; -
4000 ; 1-2 ; 5 ; custom ; 1 ; 1,6369988918304443 ; - ; 3,1203120312031203
4000 ; 1-2 ; 10 ; zhang ; 1 ; 648,0864849090576 ; 1 ; -
4000 ; 1-2 ; 10 ; custom ; 1 ; 5,832444906234741 ; - ; 5,797101449275362
4000 ; 1-2 ; 20 ; zhang ; 1 ; 610,057853937149 ; 1 ; -
4000 ; 1-2 ; 20 ; custom ; 1 ; 29,862057209014893 ; - ; 9,493004362870467
4000 ; 1-2 ; 100 ; zhang ; 1 ; 609,2692720890045 ; 1 ; -
4000 ; 1-2 ; 100 ; custom ; 1 ; - ; - ; -
4000 ; 1-5 ; 1 ; zhang ; 1 ; 614,0697729587555 ; 1 ; -
4000 ; 1-5 ; 1 ; custom ; 1 ; 0,3747727870941162 ; - ; 0,628420839245895
4000 ; 1-5 ; 5 ; zhang ; 1 ; 607,9842598438263 ; 1 ; -
4000 ; 1-5 ; 5 ; custom ; 1 ; 1,0697417259216309 ; - ; 1,5375153751537516
4000 ; 1-5 ; 10 ; zhang ; 1 ; 611,4431071281433 ; 1 ; -
4000 ; 1-5 ; 10 ; custom ; 1 ; 4,322199106216431 ; - ; 3,029054193282506
4000 ; 1-5 ; 20 ; zhang ; 1 ; 605,7174520492554 ; 1 ; -
4000 ; 1-5 ; 20 ; custom ; 1 ; 26,37732982635498 ; - ; 6,294135707706479
4000 ; 1-5 ; 100 ; zhang ; 1 ; 608,5295932292938 ; 1 ; -
4000 ; 1-5 ; 100 ; custom ; 1 ; 597,9536981582642 ; - ; 18,255515649050796
