tree_size ; branching_setting ; number_of_changes ; algorithm ; run ; time ; is_correct
Code timeout
4000 ; 1 ; 1 ; custom ; 1 ; - ; -
Code timeout
4000 ; 1 ; 5 ; custom ; 1 ; - ; -
Code timeout
4000 ; 1 ; 10 ; custom ; 1 ; - ; -
Code timeout
4000 ; 1 ; 20 ; custom ; 1 ; - ; -
Code timeout
4000 ; 1 ; 100 ; custom ; 1 ; - ; -
4000 ; 2 ; 1 ; custom ; 1 ; 0,26793718338012695 ; -
4000 ; 2 ; 5 ; custom ; 1 ; 0,9750080108642578 ; -
4000 ; 2 ; 10 ; custom ; 1 ; 2,8634631633758545 ; -
4000 ; 2 ; 20 ; custom ; 1 ; 9,892282009124756 ; -
4000 ; 2 ; 100 ; custom ; 1 ; 294,1608393192291 ; -
4000 ; 5 ; 1 ; custom ; 1 ; 0,3842000961303711 ; -
4000 ; 5 ; 5 ; custom ; 1 ; 1,4113547801971436 ; -
4000 ; 5 ; 10 ; custom ; 1 ; 5,625277996063232 ; -
4000 ; 5 ; 20 ; custom ; 1 ; 26,506606101989746 ; -
Code timeout
4000 ; 5 ; 100 ; custom ; 1 ; - ; -
4000 ; 1-2 ; 1 ; custom ; 1 ; 0,23392915725708008 ; -
4000 ; 1-2 ; 5 ; custom ; 1 ; 0,7310247421264648 ; -
4000 ; 1-2 ; 10 ; custom ; 1 ; 3,5581722259521484 ; -
4000 ; 1-2 ; 20 ; custom ; 1 ; 13,118224859237671 ; -
4000 ; 1-2 ; 100 ; custom ; 1 ; 513,6691071987152 ; -
4000 ; 1-5 ; 1 ; custom ; 1 ; 0,3272361755371094 ; -
4000 ; 1-5 ; 5 ; custom ; 1 ; 1,2315893173217773 ; -
4000 ; 1-5 ; 10 ; custom ; 1 ; 3,536860227584839 ; -
4000 ; 1-5 ; 20 ; custom ; 1 ; 21,181994915008545 ; -
Code timeout
4000 ; 1-5 ; 100 ; custom ; 1 ; - ; -
